0.487,0.859,4,-4.403,1,0.0488,0.00204,0,0.322,0.377,148.037,228480,4,51.51151347,46.2808997,5.535209581,-14.83210928,10.55047006,-27.73228593,1.555932635,-1.898492515,-6.790142216,0.241655689,-8.642543413,-7.283658683,0.448609281,0.491127246,0.235095808,0.248640719,0.460911677,0.282633234,0.316494012,0.247062874,0.37591018,0.345315868,0.271859281,0.452482036,country
0.609,0.807,5,-7.221,1,0.0972,0.00403,5.42E-06,0.0926,0.492,119.073,238493,4,49.31824945,40.99951876,-16.87320309,-18.844734,-5.988415011,-26.9594702,-6.248080574,-3.77780574,-6.470080574,4.103931567,-10.41998565,-3.610046358,0.55387638,0.577963576,0.417019868,0.277822296,0.302335541,0.491854305,0.348171082,0.309110375,0.337130243,0.464068433,0.420311258,0.283187638,country
0.517,0.776,11,-5.271,1,0.0362,0.0144,0,0.113,0.448,96.002,216533,4,49.99965527,43.33091792,16.88170178,-12.38558413,8.046649795,-22.74751573,-13.37625308,-4.091042408,-7.111777018,-0.228744186,-8.52349658,-9.218424077,0.343202462,0.478060192,0.223480164,0.32725855,0.372927497,0.23619015,0.442347469,0.252787962,0.372711354,0.196377565,0.302381669,0.584804378,country
0.707,0.52,1,-7.058,1,0.0279,0.0143,5.89E-06,0.16,0.432,106.975,179164,4,47.38036589,42.26027483,-18.49671192,-14.60678477,5.500125828,-18.16060927,-5.668375828,-1.910544702,-9.36214404,-0.81232947,-11.74846523,0.67031457,0.245235099,0.514177152,0.244092715,0.246071192,0.231279801,0.463153974,0.331331126,0.236380795,0.416509934,0.173995033,0.200112583,0.136850993,country
0.711,0.796,10,-5.87,1,0.0341,0.0716,0.0045,0.262,0.901,109.991,208733,4,49.53106622,16.25576768,10.3792413,3.677378227,14.97360718,-16.96281594,-1.986786756,-2.594373737,-5.252049383,-0.455457912,-5.010239057,1.522332211,0.462969697,0.406828283,0.338553311,0.471096521,0.439824916,0.620630752,0.351061728,0.310061728,0.23949046,0.315032548,0.386563412,0.30008642,country
0.608,0.463,10,-9.667,1,0.0274,0.166,0.0146,0.0975,0.484,142.703,210133,4,44.95074918,20.94683934,-19.59334918,-18.25912131,7.905714754,-19.57400984,-1.707736066,-3.993965574,-1.558604918,-4.093222951,-8.08304918,3.309860656,0.338919672,0.272391803,0.22512623,0.414319672,0.28007377,0.415829508,0.188645902,0.197545902,0.175390164,0.215206557,0.553303279,0.217944262,country
0.672,0.721,7,-5.557,1,0.0246,0.3,1.98E-06,0.279,0.812,99.978,188613,4,50.87584099,25.78401767,23.01098587,-9.732017668,12.23918905,-13.75523675,-0.937358657,-2.140936396,-5.881176678,-1.875157244,-9.533519435,-2.359863958,0.311015901,0.278630742,0.428371025,0.175113074,0.346116608,0.188639576,0.302480565,0.510625442,0.217872792,0.368418728,0.1709947,0.374959364,country
0.592,0.891,10,-3.144,1,0.0512,0.0267,0,0.352,0.674,99.983,174255,4,54.13785167,58.25976667,7.033361667,-16.02442333,20.272715,-22.67108833,-6.258078333,2.226013333,-7.11409,2.03636,-11.00157333,-8.204871667,0.60044,0.55165,0.442088333,0.382043333,0.386706667,0.578211667,0.355943333,0.395753333,0.246586667,0.294593333,0.399028333,0.282915,country
0.513,0.949,0,-1.723,1,0.0461,0.0104,0,0.154,0.797,159.985,235266,4,54.42587239,66.18408251,25.41144664,-2.413436744,11.32556216,-26.26163696,-1.569124312,-0.621234323,-7.685734873,1.031075908,-6.968238724,-4.140018702,0.530893289,0.402513751,0.455069307,0.244426843,0.336171617,0.476863586,0.398739274,0.572970297,0.273207921,0.285170517,0.28130143,0.300526953,country
0.609,0.884,1,-4.235,1,0.034,0.00191,0,0.109,0.949,127.974,194480,4,53.24218627,62.04247386,3.926740196,-12.96768464,7.542593137,-27.05420425,2.449589869,1.996745098,-6.912993464,2.67855719,-7.554359477,1.245816993,0.366269608,0.499797386,0.227081699,0.363292484,0.264403595,0.414174837,0.42170915,0.32597549,0.611844771,0.29170915,0.314697712,0.229326797,country
0.628,0.757,7,-3.561,1,0.0281,0.113,0,0.263,0.727,96.016,172253,4,52.99698982,47.45624644,15.81581466,-10.95289002,21.54754175,-19.58886965,-3.92297556,1.254643585,-6.861659878,-0.309610998,-9.505953157,-7.013065173,0.364242363,0.443769857,0.678869654,0.215851324,0.294637475,0.237869654,0.32910387,0.289985743,0.177395112,0.383389002,0.209354379,0.385425662,country
0.697,0.82,1,-4.275,1,0.0448,0.00928,0.000118,0.122,0.815,94.995,214096,4,50.96594412,56.57523399,-22.1185099,-5.506343423,13.21389406,-22.35153783,-1.893484284,2.174930151,-3.83401979,3.589830035,-10.9535844,-2.841296857,0.657955763,0.726281723,0.331859139,0.364164144,0.287708964,0.292594878,0.332194412,0.374784633,0.542316647,0.31601979,0.331114086,0.298324796,country
